cards,has_solution,num_solutions
1 1 1 1,N,0
1 1 1 2,N,0
1 1 1 3,N,0
1 1 1 4,N,0
1 1 1 5,N,0
1 1 1 6,N,0
1 1 1 7,N,0
1 1 1 8,Y,4
1 1 1 9,N,0
1 1 1 10,N,0
1 1 1 11,Y,4
1 1 1 12,Y,28
1 1 1 13,Y,2
1 1 2 2,N,0
1 1 2 3,N,0
1 1 2 4,N,0
1 1 2 5,N,0
1 1 2 6,Y,24
1 1 2 7,Y,8
1 1 2 8,Y,60
1 1 2 9,Y,4
1 1 2 10,Y,16
1 1 2 11,Y,76
1 1 2 12,Y,229
1 1 2 13,Y,36
1 1 3 3,N,0
1 1 3 4,Y,12
1 1 3 5,Y,8
1 1 3 6,Y,72
1 1 3 7,Y,64
1 1 3 8,Y,228
1 1 3 9,Y,34
1 1 3 10,Y,4
1 1 3 11,Y,4
1 1 3 12,Y,30
1 1 3 13,Y,4
1 1 4 4,Y,12
1 1 4 5,Y,64
1 1 4 6,Y,228
1 1 4 7,Y,34
1 1 4 8,Y,38
1 1 4 9,Y,4
1 1 4 10,Y,4
1 1 4 11,N,0
1 1 4 12,Y,12
1 1 4 13,N,0
1 1 5 5,Y,19
1 1 5 6,Y,32
1 1 5 7,Y,8
1 1 5 8,Y,4
1 1 5 9,N,0
1 1 5 10,N,0
1 1 5 11,N,0
1 1 5 12,N,0
1 1 5 13,N,0
1 1 6 6,Y,6
1 1 6 7,N,0
1 1 6 8,Y,8
1 1 6 9,Y,4
1 1 6 10,N,0
1 1 6 11,N,0
1 1 6 12,Y,4
1 1 6 13,N,0
1 1 7 7,N,0
1 1 7 8,N,0
1 1 7 9,N,0
1 1 7 10,Y,4
1 1 7 11,N,0
1 1 7 12,N,0
1 1 7 13,N,0
1 1 8 8,Y,4
1 1 8 9,N,0
1 1 8 10,N,0
1 1 8 11,N,0
1 1 8 12,N,0
1 1 8 13,N,0
1 1 9 9,N,0
1 1 9 10,N,0
1 1 9 11,N,0
1 1 9 12,N,0
1 1 9 13,Y,60
1 1 10 10,N,0
1 1 10 11,N,0
1 1 10 12,Y,60
1 1 10 13,Y,168
1 1 11 11,Y,30
1 1 11 12,Y,168
1 1 11 13,Y,240
1 1 12 12,Y,120
1 1 12 13,Y,112
1 1 13 13,Y,15
1 2 2 2,N,0
1 2 2 3,N,0
1 2 2 4,Y,24
1 2 2 5,Y,16
1 2 2 6,Y,145
1 2 2 7,Y,8
1 2 2 8,Y,10
1 2 2 9,Y,24
1 2 2 10,Y,76
1 2 2 11,Y,80
1 2 2 12,Y,34
1 2 2 13,Y,48
1 2 3 3,Y,24
1 2 3 4,Y,242
1 2 3 5,Y,48
1 2 3 6,Y,92
1 2 3 7,Y,48
1 2 3 8,Y,49
1 2 3 9,Y,92
1 2 3 10,Y,76
1 2 3 11,Y,34
1 2 3 12,Y,33
1 2 3 13,Y,18
1 2 4 4,Y,80
1 2 4 5,Y,20
1 2 4 6,Y,24
1 2 4 7,Y,40
1 2 4 8,Y,116
1 2 4 9,Y,32
1 2 4 10,Y,72
1 2 4 11,Y,26
1 2 4 12,Y,195
1 2 4 13,Y,16
1 2 5 5,Y,8
1 2 5 6,Y,44
1 2 5 7,Y,70
1 2 5 8,Y,68
1 2 5 9,Y,36
1 2 5 10,Y,24
1 2 5 11,N,0
1 2 5 12,Y,24
1 2 5 13,Y,28
1 2 6 6,Y,76
1 2 6 7,Y,44
1 2 6 8,Y,166
1 2 6 9,Y,72
1 2 6 10,Y,20
1 2 6 11,Y,24
1 2 6 12,Y,82
1 2 6 13,Y,16
1 2 7 7,Y,1
1 2 7 8,Y,40
1 2 7 9,Y,40
1 2 7 10,Y,64
1 2 7 11,Y,16
1 2 7 12,Y,6
1 2 7 13,N,0
1 2 8 8,Y,66
1 2 8 9,Y,38
1 2 8 10,Y,6
1 2 8 11,N,0
1 2 8 12,N,0
1 2 8 13,Y,120
1 2 9 9,N,0
1 2 9 10,N,0
1 2 9 11,Y,4
1 2 9 12,Y,120
1 2 9 13,Y,180
1 2 10 10,N,0
1 2 10 11,Y,120
1 2 10 12,Y,180
1 2 10 13,Y,90
1 2 11 11,Y,90
1 2 11 12,Y,91
1 2 11 13,Y,24
1 2 12 12,Y,16
1 2 12 13,Y,91
1 2 13 13,Y,60
1 3 3 3,Y,6
1 3 3 4,Y,68
1 3 3 5,Y,66
1 3 3 6,Y,24
1 3 3 7,Y,64
1 3 3 8,Y,10
1 3 3 9,Y,42
1 3 3 10,Y,18
1 3 3 11,Y,32
1 3 3 12,Y,20
1 3 3 13,N,0
1 3 4 4,Y,48
1 3 4 5,Y,52
1 3 4 6,Y,1
1 3 4 7,Y,34
1 3 4 8,Y,29
1 3 4 9,Y,58
1 3 4 10,Y,18
1 3 4 11,Y,44
1 3 4 12,Y,120
1 3 4 13,Y,24
1 3 5 5,N,0
1 3 5 6,Y,32
1 3 5 7,Y,8
1 3 5 8,Y,42
1 3 5 9,Y,72
1 3 5 10,Y,24
1 3 5 11,Y,8
1 3 5 12,Y,70
1 3 5 13,Y,36
1 3 6 6,Y,82
1 3 6 7,Y,58
1 3 6 8,Y,52
1 3 6 9,Y,24
1 3 6 10,Y,32
1 3 6 11,Y,18
1 3 6 12,Y,169
1 3 6 13,Y,24
1 3 7 7,Y,4
1 3 7 8,Y,9
1 3 7 9,Y,16
1 3 7 10,Y,22
1 3 7 11,N,0
1 3 7 12,Y,8
1 3 7 13,Y,124
1 3 8 8,Y,26
1 3 8 9,Y,151
1 3 8 10,Y,8
1 3 8 11,Y,8
1 3 8 12,Y,138
1 3 8 13,Y,180
1 3 9 9,Y,8
1 3 9 10,Y,4
1 3 9 11,Y,154
1 3 9 12,Y,188
1 3 9 13,Y,90
1 3 10 10,Y,60
1 3 10 11,Y,196
1 3 10 12,Y,90
1 3 10 13,N,0
1 3 11 11,Y,45
1 3 11 12,Y,12
1 3 11 13,N,0
1 3 12 12,Y,32
1 3 12 13,Y,18
1 3 13 13,Y,45
1 4 4 4,Y,10
1 4 4 5,Y,64
1 4 4 6,Y,10
1 4 4 7,Y,44
1 4 4 8,Y,34
1 4 4 9,Y,24
1 4 4 10,Y,32
1 4 4 11,Y,8
1 4 4 12,Y,14
1 4 4 13,N,0
1 4 5 5,Y,22
1 4 5 6,Y,2
1 4 5 7,Y,18
1 4 5 8,Y,10
1 4 5 9,Y,8
1 4 5 10,Y,20
1 4 5 11,Y,32
1 4 5 12,Y,24
1 4 5 13,Y,4
1 4 6 6,Y,10
1 4 6 7,Y,17
1 4 6 8,Y,49
1 4 6 9,Y,8
1 4 6 10,Y,2
1 4 6 11,Y,20
1 4 6 12,Y,77
1 4 6 13,Y,132
1 4 7 7,Y,4
1 4 7 8,Y,48
1 4 7 9,Y,4
1 4 7 10,N,0
1 4 7 11,Y,4
1 4 7 12,Y,160
1 4 7 13,Y,212
1 4 8 8,Y,44
1 4 8 9,Y,26
1 4 8 10,N,0
1 4 8 11,Y,136
1 4 8 12,Y,335
1 4 8 13,Y,114
1 4 9 9,N,0
1 4 9 10,Y,120
1 4 9 11,Y,190
1 4 9 12,Y,130
1 4 9 13,Y,16
1 4 10 10,Y,94
1 4 10 11,Y,90
1 4 10 12,Y,19
1 4 10 13,N,0
1 4 11 11,N,0
1 4 11 12,N,0
1 4 11 13,N,0
1 4 12 12,Y,4
1 4 12 13,N,0
1 4 13 13,N,0
1 5 5 5,Y,2
1 5 5 6,Y,12
1 5 5 7,N,0
1 5 5 8,N,0
1 5 5 9,Y,4
1 5 5 10,Y,2
1 5 5 11,Y,4
1 5 5 12,Y,4
1 5 5 13,Y,60
1 5 6 6,Y,32
1 5 6 7,Y,18
1 5 6 8,Y,16
1 5 6 9,Y,32
1 5 6 10,Y,12
1 5 6 11,Y,6
1 5 6 12,Y,144
1 5 6 13,Y,180
1 5 7 7,N,0
1 5 7 8,Y,20
1 5 7 9,Y,4
1 5 7 10,Y,12
1 5 7 11,Y,160
1 5 7 12,Y,230
1 5 7 13,Y,98
1 5 8 8,Y,34
1 5 8 9,Y,13
1 5 8 10,Y,124
1 5 8 11,Y,182
1 5 8 12,Y,110
1 5 8 13,Y,2
1 5 9 9,Y,60
1 5 9 10,Y,180
1 5 9 11,Y,90
1 5 9 12,Y,18
1 5 9 13,Y,4
1 5 10 10,Y,45
1 5 10 11,Y,16
1 5 10 12,Y,151
1 5 10 13,Y,8
1 5 11 11,Y,1
1 5 11 12,Y,8
1 5 11 13,N,0
1 5 12 12,Y,8
1 5 12 13,N,0
1 5 13 13,N,0
1 6 6 6,Y,2
1 6 6 7,N,0
1 6 6 8,Y,1
1 6 6 9,Y,16
1 6 6 10,Y,32
1 6 6 11,Y,72
1 6 6 12,Y,110
1 6 6 13,Y,53
1 6 7 7,N,0
1 6 7 8,N,0
1 6 7 9,Y,4
1 6 7 10,Y,140
1 6 7 11,Y,214
1 6 7 12,Y,116
1 6 7 13,N,0
1 6 8 8,Y,17
1 6 8 9,Y,153
1 6 8 10,Y,189
1 6 8 11,Y,110
1 6 8 12,Y,68
1 6 8 13,Y,12
1 6 9 9,Y,94
1 6 9 10,Y,94
1 6 9 11,N,0
1 6 9 12,Y,26
1 6 9 13,Y,32
1 6 10 10,N,0
1 6 10 11,N,0
1 6 10 12,Y,8
1 6 10 13,Y,16
1 6 11 11,N,0
1 6 11 12,Y,16
1 6 11 13,Y,4
1 6 12 12,Y,76
1 6 12 13,Y,8
1 6 13 13,N,0
1 7 7 7,N,0
1 7 7 8,N,0
1 7 7 9,Y,60
1 7 7 10,Y,94
1 7 7 11,Y,49
1 7 7 12,Y,4
1 7 7 13,N,0
1 7 8 8,Y,60
1 7 8 9,Y,196
1 7 8 10,Y,122
1 7 8 11,Y,12
1 7 8 12,Y,20
1 7 8 13,N,0
1 7 9 9,Y,45
1 7 9 10,Y,4
1 7 9 11,Y,4
1 7 9 12,Y,36
1 7 9 13,Y,8
1 7 10 10,N,0
1 7 10 11,N,0
1 7 10 12,Y,9
1 7 10 13,Y,4
1 7 11 11,N,0
1 7 11 12,N,0
1 7 11 13,N,0
1 7 12 12,Y,4
1 7 12 13,Y,16
1 7 13 13,Y,1
1 8 8 8,Y,30
1 8 8 9,Y,45
1 8 8 10,Y,16
1 8 8 11,Y,32
1 8 8 12,Y,13
1 8 8 13,N,0
1 8 9 9,N,0
1 8 9 10,N,0
1 8 9 11,Y,21
1 8 9 12,Y,49
1 8 9 13,Y,8
1 8 10 10,N,0
1 8 10 11,Y,4
1 8 10 12,Y,48
1 8 10 13,Y,36
1 8 11 11,N,0
1 8 11 12,Y,8
1 8 11 13,Y,16
1 8 12 12,Y,1
1 8 12 13,N,0
1 8 13 13,N,0
1 9 9 9,N,0
1 9 9 10,N,0
1 9 9 11,N,0
1 9 9 12,Y,8
1 9 9 13,N,0
1 9 10 10,N,0
1 9 10 11,N,0
1 9 10 12,Y,16
1 9 10 13,Y,4
1 9 11 11,Y,4
1 9 11 12,Y,32
1 9 11 13,Y,4
1 9 12 12,Y,8
1 9 12 13,N,0
1 9 13 13,N,0
1 10 10 10,N,0
1 10 10 11,N,0
1 10 10 12,Y,4
1 10 10 13,N,0
1 10 11 11,N,0
1 10 11 12,Y,20
1 10 11 13,N,0
1 10 12 12,Y,32
1 10 12 13,Y,12
1 10 13 13,N,0
1 11 11 11,N,0
1 11 11 12,Y,4
1 11 11 13,Y,8
1 11 12 12,Y,16
1 11 12 13,Y,32
1 11 13 13,Y,8
1 12 12 12,Y,4
1 12 12 13,Y,16
1 12 13 13,Y,4
1 13 13 13,N,0
2 2 2 2,N,0
2 2 2 3,Y,32
2 2 2 4,Y,24
2 2 2 5,Y,8
2 2 2 6,N,0
2 2 2 7,Y,4
2 2 2 8,Y,28
2 2 2 9,Y,8
2 2 2 10,Y,16
2 2 2 11,Y,8
2 2 2 12,Y,95
2 2 2 13,Y,8
2 2 3 3,Y,16
2 2 3 4,Y,16
2 2 3 5,Y,4
2 2 3 6,Y,28
2 2 3 7,Y,28
2 2 3 8,Y,146
2 2 3 9,Y,22
2 2 3 10,Y,4
2 2 3 11,Y,16
2 2 3 12,Y,49
2 2 3 13,Y,16
2 2 4 4,Y,12
2 2 4 5,Y,48
2 2 4 6,Y,182
2 2 4 7,Y,24
2 2 4 8,Y,58
2 2 4 9,Y,28
2 2 4 10,Y,54
2 2 4 11,Y,42
2 2 4 12,Y,18
2 2 4 13,Y,28
2 2 5 5,Y,13
2 2 5 6,Y,14
2 2 5 7,Y,8
2 2 5 8,Y,4
2 2 5 9,Y,16
2 2 5 10,Y,18
2 2 5 11,Y,8
2 2 5 12,Y,25
2 2 5 13,N,0
2 2 6 6,Y,20
2 2 6 7,Y,12
2 2 6 8,Y,58
2 2 6 9,Y,8
2 2 6 10,Y,48
2 2 6 11,Y,6
2 2 6 12,Y,28
2 2 6 13,Y,4
2 2 7 7,Y,8
2 2 7 8,Y,30
2 2 7 9,N,0
2 2 7 10,Y,4
2 2 7 11,N,0
2 2 7 12,Y,16
2 2 7 13,Y,80
2 2 8 8,Y,20
2 2 8 9,Y,16
2 2 8 10,Y,32
2 2 8 11,N,0
2 2 8 12,Y,118
2 2 8 13,N,0
2 2 9 9,N,0
2 2 9 10,Y,6
2 2 9 11,Y,72
2 2 9 12,Y,12
2 2 9 13,N,0
2 2 10 10,Y,36
2 2 10 11,Y,4
2 2 10 12,N,0
2 2 10 13,Y,12
2 2 11 11,Y,4
2 2 11 12,Y,12
2 2 11 13,Y,138
2 2 12 12,Y,73
2 2 12 13,Y,8
2 2 13 13,Y,2
2 3 3 3,Y,16
2 3 3 4,N,0
2 3 3 5,Y,12
2 3 3 6,Y,42
2 3 3 7,Y,32
2 3 3 8,Y,36
2 3 3 9,Y,42
2 3 3 10,Y,8
2 3 3 11,Y,6
2 3 3 12,Y,142
2 3 3 13,Y,38
2 3 4 4,Y,65
2 3 4 5,Y,40
2 3 4 6,Y,100
2 3 4 7,Y,28
2 3 4 8,Y,32
2 3 4 9,Y,110
2 3 4 10,Y,58
2 3 4 11,Y,28
2 3 4 12,Y,64
2 3 4 13,Y,46
2 3 5 5,Y,20
2 3 5 6,Y,64
2 3 5 7,Y,46
2 3 5 8,Y,33
2 3 5 9,Y,34
2 3 5 10,Y,20
2 3 5 11,Y,98
2 3 5 12,Y,1
2 3 5 13,Y,42
2 3 6 6,Y,69
2 3 6 7,Y,24
2 3 6 8,Y,26
2 3 6 9,Y,80
2 3 6 10,Y,56
2 3 6 11,Y,30
2 3 6 12,Y,94
2 3 6 13,Y,130
2 3 7 7,Y,24
2 3 7 8,Y,37
2 3 7 9,Y,26
2 3 7 10,Y,20
2 3 7 11,Y,48
2 3 7 12,Y,137
2 3 7 13,Y,32
2 3 8 8,Y,20
2 3 8 9,Y,12
2 3 8 10,Y,40
2 3 8 11,Y,150
2 3 8 12,Y,52
2 3 8 13,Y,4
2 3 9 9,Y,36
2 3 9 10,Y,148
2 3 9 11,N,0
2 3 9 12,Y,6
2 3 9 13,Y,18
2 3 10 10,Y,6
2 3 10 11,N,0
2 3 10 12,Y,40
2 3 10 13,Y,92
2 3 11 11,Y,16
2 3 11 12,Y,90
2 3 11 13,Y,24
2 3 12 12,Y,48
2 3 12 13,Y,90
2 3 13 13,Y,8
2 4 4 4,Y,22
2 4 4 5,Y,10
2 4 4 6,Y,32
2 4 4 7,Y,18
2 4 4 8,Y,72
2 4 4 9,Y,2
2 4 4 10,Y,34
2 4 4 11,Y,8
2 4 4 12,Y,180
2 4 4 13,Y,4
2 4 5 5,Y,4
2 4 5 6,Y,42
2 4 5 7,Y,20
2 4 5 8,Y,58
2 4 5 9,Y,24
